secid,alpha,beta,r2
IMOEX,0.0,1.0,1.0
LKOH,0.0002870662533095492,0.7350883633985942,0.37894483613116026
LQDT,0.0005424041525495781,-0.018949593116107295,0.007410944954249987
OZON,0.00074698127072415,0.9406112024262931,0.2074908225893355
PHOR,0.0007688119557737402,0.29687323245473657,0.058598547246457744
PLZL,0.0072938789505881665,0.08746374180670875,3.3144401830664805e-05
RU000A105QX1,-4.667652997122316e-05,0.12120659270750486,0.009511553179909149
RU000A108Q29,2.1988716233469194e-05,0.012226422664523737,0.00015165257296168022
RU000A10CMR3,-5.9040286766716185e-05,0.1740721594185608,0.06433558712897536
RU000A10DQA8,,,
SBER,0.00033720532277023034,0.9025240773751929,0.46176533481055826
SPBE,0.00011069765776726888,0.8671377849884541,0.09151505030050311
SU26207RMFS9,-2.787652837803104e-05,0.019970455749263736,0.012685503324593617
SU26212RMFS9,-3.8859825234376156e-05,0.10145287967782876,0.1687123288591892
SU26219RMFS4,0.0,0.0,
SU26226RMFS9,-6.275088374129402e-06,-0.012277798046878622,0.008618948150816763
T,0.0006334134757290518,0.9625395729614461,0.28006695279558813
TGLD,0.0009546214188959337,-0.0837066932036371,0.008144573114108655
TMOS,0.0002575926263890289,0.5960305423864953,0.4397962458494922
VTBR,-0.0010822931603501006,1.0082205148623575,0.18327930734033437
X5,0.00015135538251596697,0.48087862144788607,0.12965915333884603
YDEX,0.000410134691572431,0.6762950844827164,0.24500096502638002
