secid,alpha,r2,resid_std,MKT_EXCESS,GOLD,LIQ
IMOEX,2.109884649298647e-15,1.0,2.115514679604338e-15,1.0000000000000007,5.596273254841307e-16,3.1733280950748274e-16
LKOH,0.00045232791239971636,0.29266939795088176,0.013641919662239883,0.7008097538484899,0.034439363528032146,-0.2543078069070315
LQDT,0.00035834910408413323,0.010747894378658751,0.0027320950597128388,-0.019164038517125264,0.005154443504219484,0.3479002853137674
OZON,0.0012150928170007163,0.2772401802622866,0.020896543451715703,1.036716640217698,0.007876429610029986,0.18320358801110964
PHOR,0.00038070776109434796,0.14543178299009296,0.013890092209977663,0.45538384854963326,0.028160606636693147,-1.158659326987208
PLZL,0.009189142518803782,0.0006094378961293279,0.28711525999242193,-0.5274162263837694,0.2324054867150642,2.9604062403595264
RU000A105QX1,-0.0004817065632457036,0.0812911888028095,0.014006678557784173,0.10566294742375115,0.3614063148782076,0.011399503861087406
SBER,0.0018927998890789772,0.3267409170547555,0.013581728420450414,0.7555371203536513,-0.06844151057879687,-2.010844217474865
SPBE,0.0025757696657594514,0.13597427282137464,0.04259047585461446,1.3455870340859428,-0.24420398004124458,-1.4452885987594515
SU26207RMFS9,0.00011382922562365866,0.028255117645557437,0.0022047713945500605,0.027993347726887656,0.0035268539118455057,-0.30016690821843733
SU26212RMFS9,6.680362897682508e-05,0.058068908267672525,0.0032684023558618145,0.06261153021419134,0.01323549580428907,-0.26779964625874714
SU26219RMFS4,0.0,,0.0,0.0,0.0,0.0
SU26226RMFS9,0.000171588833603818,0.01678587456042302,0.001838810613190643,0.014647955047890846,0.0006217308498891038,-0.3666480251766957
T,0.0024008934844597873,0.26537246498766165,0.0189196901698225,0.9020341044549016,0.0043980149041191055,-3.712282770445214
TGLD,0.00035834910408741067,0.9467213952367286,0.0027320950597128388,-0.01916403851712504,1.0051544435042201,-0.6520997146862315
TMOS,0.0005043571362884982,0.5855623246435575,0.008231932133157798,0.7825492152234811,0.024592736766826342,-0.31967760674180934
VTBR,-1.1301477294264637e-05,0.10216144392995863,0.037372008901374876,1.0019463601457623,-0.18160479477314967,-2.150152654731702
